stage,index,millis,note
column_scan,49,0.1037,unsafe
chunk_acquire,50,13.7981,had_to_load
snapshot,50,0.0819,had_to_load
column_scan,50,0.1286,unsafe
chunk_acquire,51,15.0180,had_to_load
snapshot,51,0.0680,had_to_load
column_scan,51,0.0903,unsafe
chunk_acquire,52,14.6062,had_to_load
snapshot,52,0.0727,had_to_load
column_scan,52,0.0874,unsafe
chunk_acquire,53,15.2989,had_to_load
snapshot,53,0.6889,had_to_load
column_scan,53,0.1099,unsafe
chunk_acquire,54,14.5080,had_to_load
snapshot,54,0.0788,had_to_load
column_scan,54,0.0880,unsafe
chunk_acquire,55,2.2295,had_to_load
snapshot,55,0.0594,had_to_load
column_scan,55,0.1456,unsafe
chunk_acquire,56,10.3866,had_to_load
snapshot,56,0.1479,had_to_load
column_scan,56,0.1431,unsafe
chunk_acquire,57,14.6435,had_to_load
snapshot,57,0.1134,had_to_load
column_scan,57,0.1665,safe
chunk_acquire,58,1.5003,had_to_load
snapshot,58,0.0655,had_to_load
column_scan,58,0.0993,unsafe
chunk_acquire,59,1.7922,had_to_load
snapshot,59,0.0703,had_to_load
column_scan,59,0.1198,unsafe
chunk_acquire,60,2.0011,had_to_load
snapshot,60,0.0565,had_to_load
column_scan,60,0.1056,safe
chunk_acquire,61,13.0561,had_to_load
snapshot,61,0.0818,had_to_load
column_scan,61,0.0888,unsafe
chunk_acquire,62,2.6023,had_to_load
snapshot,62,0.0751,had_to_load
column_scan,62,0.1331,unsafe
chunk_acquire,63,7.7470,had_to_load
snapshot,63,0.0755,had_to_load
column_scan,63,0.2934,unsafe
load_burst,0,14548.167,burst
load_capped,0,8674.279,capped
load_burst,1,15002.778,burst
load_capped,1,8811.291,capped
load_burst,2,15002.795,burst
load_capped,2,8680.411,capped
load_burst,3,15113.660,burst
load_capped,3,8676.889,capped
load_burst,4,16365.468,burst
load_capped,4,8676.048,capped
load_burst,5,15111.163,burst
load_capped,5,8721.278,capped
load_burst,6,15157.667,burst
load_capped,6,8727.819,capped
load_burst,7,15343.060,burst
load_capped,7,8676.484,capped
load_burst,8,15286.334,burst
load_capped,8,2397.630,capped
load_burst,9,15343.564,burst
load_capped,9,3202.494,capped
load_burst,10,15365.224,burst
load_capped,10,2354.496,capped
load_burst,11,15366.555,burst
load_capped,11,2730.074,capped
load_burst,12,15383.617,burst
load_capped,12,2677.799,capped
load_burst,13,15346.198,burst
load_capped,13,2612.464,capped
load_burst,14,16364.407,burst
load_capped,14,3260.868,capped
load_burst,15,16364.449,burst
load_capped,15,2939.064,capped
load_burst,16,16364.427,burst
load_capped,16,2333.554,capped
load_burst,17,16364.490,burst
load_capped,17,2532.082,capped
load_burst,18,16364.471,burst
load_capped,18,2225.391,capped
load_burst,19,16364.445,burst
load_capped,19,2883.204,capped
load_burst,20,16364.452,burst
load_capped,20,2622.143,capped
load_burst,21,16364.556,burst
load_capped,21,3450.315,capped
load_burst,22,16364.483,burst
load_capped,22,2488.738,capped
load_burst,23,16364.541,burst
load_capped,23,2505.601,capped
load_burst,24,16364.509,burst
load_capped,24,2445.724,capped
load_burst,25,16364.482,burst
load_capped,25,2365.290,capped
load_burst,26,16364.522,burst
load_capped,26,2366.224,capped
load_burst,27,16364.573,burst
load_capped,27,2273.776,capped
load_burst,28,16365.279,burst
load_capped,28,2501.944,capped
load_burst,29,16364.539,burst
load_capped,29,2459.443,capped
load_burst,30,16364.608,burst
load_capped,30,2401.567,capped
load_burst,31,16365.247,burst
load_capped,31,2550.193,capped
load_burst,32,16364.547,burst
load_capped,32,2457.086,capped
load_burst,33,16364.619,burst
load_capped,33,3373.726,capped
load_burst,34,16364.562,burst
load_capped,34,2424.760,capped
load_burst,35,16364.604,burst
load_capped,35,4418.773,capped
load_burst,36,16364.636,burst
load_capped,36,2477.991,capped
load_burst,37,16364.700,burst
load_capped,37,2402.143,capped
load_burst,38,16364.704,burst
load_capped,38,2366.230,capped
load_burst,39,16365.134,burst
load_capped,39,2861.935,capped
load_burst,40,16364.633,burst
load_capped,40,2990.098,capped
load_burst,41,16364.680,burst
load_capped,41,2651.933,capped
load_burst,42,16365.228,burst
load_capped,42,2492.532,capped
load_burst,43,16364.545,burst
load_capped,43,2472.600,capped
load_burst,44,16364.629,burst
load_capped,44,3164.067,capped
load_burst,45,16364.635,burst
load_capped,45,2681.760,capped
load_burst,46,15380.143,burst
load_capped,46,2291.046,capped
load_burst,47,16365.188,burst
load_capped,47,2599.252,capped
load_burst,48,15380.447,burst
load_capped,48,2873.059,capped
load_burst,49,15365.573,burst
load_capped,49,2696.096,capped
load_burst,50,16365.165,burst
load_capped,50,2470.977,capped
load_burst,51,15379.815,burst
load_capped,51,2489.666,capped
load_burst,52,16317.411,burst
load_capped,52,2459.242,capped
load_burst,53,15370.244,burst
load_capped,53,2363.461,capped
load_burst,54,15380.708,burst
load_capped,54,2304.289,capped
load_burst,55,16364.471,burst
load_capped,55,2310.764,capped
load_burst,56,16364.424,burst
load_capped,56,2296.460,capped
load_burst,57,16364.625,burst
load_capped,57,2248.728,capped
load_burst,58,16364.614,burst
load_capped,58,2317.856,capped
load_burst,59,16365.122,burst
load_capped,59,2305.230,capped
load_burst,60,16365.088,burst
load_capped,60,2231.091,capped
load_burst,61,16365.140,burst
load_capped,61,2127.528,capped
load_burst,62,16364.593,burst
load_capped,62,1896.555,capped
load_burst,63,16365.120,burst
load_capped,63,1546.284,capped
